,ChemicalName,Chemical_Description,Web_Link
109,"Titanium dioxide (airborne, unbound particles of respirable size)","Many sunscreens use nanoparticle titanium dioxide (along with nanoparticle zinc oxide) which, despite reports of potential health risks, is not actually absorbed through the skin. Other effects of titanium dioxide nanoparticles on human health are not well understood. Titanium dioxide dust, when inhaled, has been classified by the International Agency for Research on Cancer (IARC) as an IARC Group 2B carcinogen, meaning it is possibly carcinogenic to humans.",https://en.wikipedia.org/wiki/Titanium_dioxide#Health_and_safety
110,Toluene,"The environmental and toxicological effects of toluene have been extensively studied. In 2013, worldwide sales of toluene amounted to about 24.5 billion US-dollars. Inhalation of toluene in low to moderate levels can cause tiredness, confusion, weakness, drunken-type actions, memory loss, nausea, loss of appetite, hearing loss, and colour vision loss. Some of these symptoms usually disappear when exposure is stopped. Inhaling high levels of toluene in a short time may cause light-headedness, nausea, or sleepiness, unconsciousness, and even death. Toluene is, however, much less toxic than benzene, and has as a consequence, largely replaced it as an aromatic solvent in chemical preparation. The US Environmental Protection Agency (EPA) states that the carcinogenic potential of toluene cannot be evaluated due to insufficient information.",https://en.wikipedia.org/wiki/Toluene#Toxicology_and_metabolism
111,Trade Secret,"ShhhƒFDA requires cosmetics to have an ñingredient declaration,î a list of all the productÍs ingredients. FDA requires this labeling under the Fair Packaging and Labeling ActExternal Link Disclaimer (FPLA). This law is intended to make sure consumers have information they can use to compare the value of different products and make informed choices. But according to the FPLA, regulations for this list of ingredients must not be used to force a company to disclose ñtrade secretsî. For example, fragrance and flavor ingredients do not need to be listed individually on cosmetic labels, because they are the ingredients most likely to be ñtrade secrets.î Instead, they may be listed simply as ñfragranceî or ñflavorî",https://www.fda.gov/cosmetics/cosmetics-labeling/trade-secret-ingredients
112,Trichloroacetic acid,"TCA and DCA are both used in cosmetic treatments (such as chemical peels and tattoo removal) and as topical medication for chemoablation of warts, including genital warts. It can kill normal cells as well. It is considered safe for use for this purpose during pregnancy. Its sodium salt was used as an herbicide starting in the 1950s but regulators removed it from the market in the late 1980s and early 1990s.",https://en.wikipedia.org/wiki/Trichloroacetic_acid
113,Triethanolamine,"A 1996 study found that triethanolamine (TEOA) occasionally causes contact allergy. A 2001 study found TEOA in a sunscreen caused an allergic contact dermatitis. A 2007 study found TEOA in ear drops caused a contact allergy. Systemic and respiratory tract (RT) toxicity was analyzed for 28 days in a nose specific inhalation 2008 study in Wistar rats; TEOA seems to be less potent in regard to systemic toxicity and RT irritancy than diethanolamine (DEA). Exposure to TEOA resulted in focal inflammation, starting in single male animals from 20 mg/m3 concentrations. A 2009 study stated that patch test reactions reveal a slight irritant potential instead of a true allergic response in several cases, and also indicated the risk of skin sensitization to TEOA seems to be very low.",https://en.wikipedia.org/wiki/Triethanolamine#Safety_and_regulation
114,Vinyl acetate,"Vinyl acetate is classified as an extremely hazardous substance in the United States as defined in Section 302 of the U.S. Emergency Planning and Community Right-to-Know Act (42 U.S.C. 11002), and is subject to strict reporting requirements by facilities which produce, store, or use it in significant quantities.",https://en.wikipedia.org/wiki/Vinyl_acetate#Toxicity_evaluation
115,Vitamin A,"Retinol at normal doses is well tolerated. High doses may result in an enlarged liver, dry skin, or hypervitaminosis A. High doses during pregnancy may result in harm to the baby. Retinol is in the vitamin A family. It is converted in the body to retinal and retinoic acid through which it acts. Dietary sources include fish, dairy products, and meat.",https://en.wikipedia.org/wiki/Retinol#Side_effects
116,Vitamin A palmitate,"Retinol at normal doses is well tolerated. High doses may result in an enlarged liver, dry skin, or hypervitaminosis A. High doses during pregnancy may result in harm to the baby. Retinol is in the vitamin A family. It is converted in the body to retinal and retinoic acid through which it acts. Dietary sources include fish, dairy products, and meat.",https://en.wikipedia.org/wiki/Retinol#Side_effects
117,beta-Myrcene,"As of October 2018, theæFDAæwithdrew authorization for the use of myrcene as a synthetic flavoring substance for use in food, without regard to its continuing stance that this substance does not pose a risk to public health under the conditions of its intended use.",https://en.wikipedia.org/wiki/Myrcene
118,o-Phenylenediamine and its salts,"o-Phenylenediamine is on the Red List* from Campaign for Safe Cosmetics, a project of Breast Cancer Prevention Partners (previously the Breast Cancer Fund).They list the substance as probable carcinogen.The European Chemicals Agency (ECHA) identifies that o-Phenylenediamine is ñtoxic if swallowed, is very toxic to aquatic life with long lasting effects, is harmful in contact with skin, causes serious eye irritation, is harmful if inhaled, is suspected of causing genetic defects, is suspected of causing cancer and may cause an allergic skin reaction.",https://www.curiouschloride.com/substances/o-phenylenediamine/
119,o-Phenylphenol,The biocides ortho-phenylphenol and its sodium salt (OPP and SOPP) are widely used as fungicides and antibacterial agents for commercial and consumer purposes. The carcinogenicity of OPP/SOPP toward the urinary bladder was demonstrated when rats were chronically fed concentrations of 0.5%-4% in their diet. Other species tested so far did not develop tumours. Understanding the mechanisms underlying OPP/SOPP-induced bladder carcinogenesis is critical to determine whether risks observed at high doses in rats are of relevance to humans exposed at much lower levels.,https://www.ncbi.nlm.nih.gov/pubmed/10839472
120,p-Aminodiphenylamine,"4-Aminobiphenyl is a human carcinogen, specifically to the tissues involving the urinary system, i.e., the bladder, ureter, and renal pelvis. In one study, out of 171 workers in a plant manufacturing 4-aminobiphenyl, 11% of them developed bladder tumors. Tumors appeared on subjects which were exposed by 4-aminobiphenyl in a range of duration from 1.5 to 19 years. The compound can be metabolized by humans which the product may form adducts with DNA in human urothelial mucosa and bladder tumor tissues. Levels of these adducts in smokers of blond and black tobacco were found to be proportional to bladder cancer risk.",https://en.wikipedia.org/wiki/4-Aminobiphenyl#Toxicity
